4 3 1 HH..FF.BBBG..AA.G.DDD.II.ECC...E.... H98 A99 D99
4 3 1 HH..FF.BBBG..AA.G..DDDII.E.CC..E.... H98 A99 C99
4 3 1 HH..FF.BBBG..AA.G..DDDII.E..CC.E.... H98 A99 C98
4 3 1 HH..FF.BBBG...AAG.DDD.II.ECC...E.... H98 A98 D99
4 3 1 HH..FF.BBBG...AAG..DDDII.E.CC..E.... H98 A98 C99
4 3 1 HH..FF.BBBG...AAG..DDDII.E..CC.E.... H98 A98 C98
4 3 1 HH..FF.BBBG.AA..G.DDDII..ECC...E.... H98 D99 I99
4 3 1 HH..FF.BBBG.AA..G.DDD.II.E.CC..E.... H98 D99 C99
4 3 1 HH..FF.BBBG.AA..G.DDD.II.E..CC.E.... H98 D99 C98
4 3 1 ..HHFFBBB.G..AA.G.DDD.II.ECC...E.... B99 A99 D99
4 3 1 ..HHFFBBB.G..AA.G..DDDII.E.CC..E.... B99 A99 C99
4 3 1 ..HHFFBBB.G..AA.G..DDDII.E..CC.E.... B99 A99 C98
4 3 1 ..HHFFBBB.G...AAG.DDD.II.ECC...E.... B99 A98 D99
4 3 1 ..HHFFBBB.G...AAG..DDDII.E.CC..E.... B99 A98 C99
4 3 1 ..HHFFBBB.G...AAG..DDDII.E..CC.E.... B99 A98 C98
4 3 1 ..HHFFBBB.G.AA..G.DDDII..ECC...E.... B99 D99 I99
4 3 1 ..HHFFBBB.G.AA..G.DDD.II.E.CC..E.... B99 D99 C99
4 3 1 ..HHFFBBB.G.AA..G.DDD.II.E..CC.E.... B99 D99 C98
4 3 1 ..HHFF.BBBG..AA.G.DDDII..ECC...E.... A99 D99 I99
4 3 1 ..HHFF.BBBG..AA.G.DDD.II.E.CC..E.... A99 D99 C99
4 3 1 ..HHFF.BBBG..AA.G.DDD.II.E..CC.E.... A99 D99 C98
4 3 1 ..HHFF.BBBG...AAG.DDDII..ECC...E.... A98 D99 I99
4 3 1 ..HHFF.BBBG...AAG.DDD.II.E.CC..E.... A98 D99 C99
4 3 1 ..HHFF.BBBG...AAG.DDD.II.E..CC.E.... A98 D99 C98
4 3 1 ..HHFF.BBBG.AA..G.DDDII..E.CC..E.... D99 I99 C99
4 3 1 ..HHFF.BBBG.AA..G.DDDII..E..CC.E.... D99 I99 C98
4 4 0 HHFFG.BBB.G.AA.....DDDII.ECC...E.... H98 F98 B99 G99
4 4 0 HHFFG..BBBG..AA....DDDII.ECC...E.... H98 F98 G99 A99
4 4 0 HHFFG..BBBG...AA...DDDII.ECC...E.... H98 F98 G99 A98
4 4 0 HHFFG..BBBG....AA..DDDII.ECC...E.... H98 F98 G99 A97
4 4 0 HHFFG..BBBG.....AA.DDDII.ECC...E.... H98 F98 G99 A96
