3 3 0 FFCCHH.DDG..AA.GB..EEEB.I...B.I..... B99 G99 E99
3 3 0 FFCCHH.DD.....AAB.EEEGB.I..GB.I..... B99 A98 G99
3 3 0 FFCCHH.DD.....AAB.EEE.B.I..GB.I..G.. B99 A98 G98
3 3 0 FFCCHH.DD...AA..B..EEEB.I..GB.I..G.. B99 G98 E99
3 3 0 FFCCHH...DD..AAG..EEEGB.I...B.I...B. D98 B98 A99
3 3 0 FFCCHH...DD.AA....EEEGB.I..GB.I...B. D98 B98 G99
3 3 0 FFCCHH...DD.AA....EEE.B.I..GB.I..GB. D98 B98 G98
3 3 0 FFCCHH....DD.AAG..EEEGB.I...B.I...B. D97 B98 A99
3 3 0 FFCCHH...GDDAA.G..EEE.B.I...B.I...B. D97 B98 G99
3 3 0 FFCCHH....DDAA....EEEGB.I..GB.I...B. D97 B98 G99
3 3 0 FFCCHH....DDAA....EEE.B.I..GB.I..GB. D97 B98 G98
3 3 0 FFCCHH.DDG...AAG..EEE.B.I...B.I...B. B98 A99 G99
3 3 0 FFCCHH.DD....AA...EEEGB.I..GB.I...B. B98 A99 G99
3 3 0 FFCCHH.DD....AA...EEE.B.I..GB.I..GB. B98 A99 G98
3 3 0 FFCCHH.DDG..AA.G...EEEB.I...B.I...B. B98 G99 E99
3 3 0 FFCCHH.DD.....AA..EEEGB.I..GB.I...B. B98 A98 G99
3 3 0 FFCCHH.DD......AA.EEEGB.I..GB.I...B. B98 A97 G99
3 3 0 FFCCHH.DD.......AAEEEGB.I..GB.I...B. B98 A96 G99
