3 3 0 CC..HH.FF.E...AAE.G.BBB.G.D.IIG.D... C98 F99 A98
3 3 0 CC..HH.FF.E.AA..E.GBBB..G.D.IIG.D... C98 F99 B99
3 3 0 CC..HH.FF.E.AA..E.G..BBBG.D.IIG.D... C98 F99 B99
3 3 0 CC..HH.FF.E.AA..E.G.BBB.G.DII.G.D... C98 F99 I99
3 3 0 CC..HHFF..E..AA.E.G.BBB.G.D.IIG.D... C98 F98 A99
3 3 0 CC..HHFF..E...AAE.G.BBB.G.D.IIG.D... C98 F98 A98
3 3 0 CC..HHFF..E.AA..E.GBBB..G.D.IIG.D... C98 F98 B99
3 3 0 CC..HHFF..E.AA..E.G..BBBG.D.IIG.D... C98 F98 B99
3 3 0 CC..HHFF..E.AA..E.G.BBB.G.DII.G.D... C98 F98 I99
3 3 0 CC..HH..FFE.GAA.E.G.BBB.G.D.II..D... C98 A99 G99
3 3 0 CC..HHG.FFE.GAA.E.G.BBB...D.II..D... C98 A99 G98
3 3 0 CC..HH..FFE..AA.E.GBBB..G.D.IIG.D... C98 A99 B99
3 3 0 CC..HH..FFE..AA.E.G..BBBG.D.IIG.D... C98 A99 B99
3 3 0 CC..HH..FFE..AA.E.G.BBB.G.DII.G.D... C98 A99 I99
3 3 0 CC..HH..FFE.G.AAE.G.BBB.G.D.II..D... C98 A98 G99
3 3 0 CC..HHG.FFE.G.AAE.G.BBB...D.II..D... C98 A98 G98
3 3 0 CC..HH..FFE...AAE.GBBB..G.D.IIG.D... C98 A98 B99
3 3 0 CC..HH..FFE...AAE.G..BBBG.D.IIG.D... C98 A98 B99
3 3 0 CC..HH..FFE...AAE.G.BBB.G.DII.G.D... C98 A98 I99
3 3 0 CC..HH..FF..AA..E.GBBBE.G.D.IIG.D... C98 E99 B99
3 3 0 CC..HH..FFE.AA..E.GBBB..G.DII.G.D... C98 B99 I99
3 3 0 CC..HH..FFE.AA..E.G.DBBBG.D.IIG..... C98 B99 D99
3 3 0 CC..HH..FFE.AAD.E.G.DBBBG...IIG..... C98 B99 D98
3 3 0 CC..HH..FFE.AA..E.G..BBBG.DII.G.D... C98 B99 I99
3 3 0 ..CCHH.FF.E.GAA.E.G.BBB.G.D.II..D... F99 A99 G99
3 3 0 ..CCHHGFF.E.GAA.E.G.BBB...D.II..D... F99 A99 G98
3 3 0 G.CCHHGFF.E.GAA.E...BBB...D.II..D... F99 A99 G97
3 3 0 ..CCHH.FF.E..AA.E.GBBB..G.D.IIG.D... F99 A99 B99
3 3 0 ..CCHH.FF.E..AA.E.G..BBBG.D.IIG.D... F99 A99 B99
3 3 0 ..CCHH.FF.E..AA.E.G.BBB.G.DII.G.D... F99 A99 I99
3 3 0 ..CCHH.FF.E.G.AAE.G.BBB.G.D.II..D... F99 A98 G99
3 3 0 ..CCHHGFF.E.G.AAE.G.BBB...D.II..D... F99 A98 G98
3 3 0 G.CCHHGFF.E.G.AAE...BBB...D.II..D... F99 A98 G97
3 3 0 ..CCHH.FF.E...AAE.GBBB..G.D.IIG.D... F99 A98 B99
3 3 0 ..CCHH.FF.E...AAE.G..BBBG.D.IIG.D... F99 A98 B99
3 3 0 ..CCHH.FF.E...AAE.G.BBB.G.DII.G.D... F99 A98 I99
3 3 0 ..CCHH.FF...AA..E.GBBBE.G.D.IIG.D... F99 E99 B99
3 3 0 ..CCHH.FF.E.AA..E.GBBB..G.DII.G.D... F99 B99 I99
3 3 0 ..CCHH.FF.E.AA..E.G.DBBBG.D.IIG..... F99 B99 D99
3 3 0 ..CCHH.FF.E.AAD.E.G.DBBBG...IIG..... F99 B99 D98
3 3 0 ..CCHH.FF.E.AA..E.G..BBBG.DII.G.D... F99 B99 I99
3 3 0 ..CCHHFF..E.GAA.E.G.BBB.G.D.II..D... F98 A99 G99
3 3 0 ..CCHHFF..E..AA.E.GBBB..G.D.IIG.D... F98 A99 B99
3 3 0 ..CCHHFF..E..AA.E.G..BBBG.D.IIG.D... F98 A99 B99
3 3 0 ..CCHHFF..E..AA.E.G.BBB.G.DII.G.D... F98 A99 I99
3 3 0 ..CCHHFF..E.G.AAE.G.BBB.G.D.II..D... F98 A98 G99
3 3 0 ..CCHHFF..E...AAE.GBBB..G.D.IIG.D... F98 A98 B99
3 3 0 ..CCHHFF..E...AAE.G..BBBG.D.IIG.D... F98 A98 B99
3 3 0 ..CCHHFF..E...AAE.G.BBB.G.DII.G.D... F98 A98 I99
3 3 0 ..CCHHFF....AA..E.GBBBE.G.D.IIG.D... F98 E99 B99
3 3 0 ..CCHHFF..E.AA..E.GBBB..G.DII.G.D... F98 B99 I99
3 3 0 ..CCHHFF..E.AA..E.G.DBBBG.D.IIG..... F98 B99 D99
3 3 0 ..CCHHFF..E.AAD.E.G.DBBBG...IIG..... F98 B99 D98
3 3 0 ..CCHHFFD.E.AAD.E.G..BBBG...IIG..... F98 B99 D97
3 3 0 ..CCHHFF..E.AA..E.G..BBBG.DII.G.D... F98 B99 I99
3 3 0 ..CCHH..FFE.GAA.E.GBBB..G.D.II..D... A99 G99 B99
3 3 0 ..CCHH..FFE.GAA.E.G..BBBG.D.II..D... A99 G99 B99
3 3 0 ..CCHH..FFE.GAA.E.G.BBB.G.DII...D... A99 G99 I99
