0 0 0 .B.....B..C...AAC.DFFFC.DGHIEE.GHI..
1 1 0 .......B..C..BAAC.DFFFC.DGHIEE.GHI.. B99
1 1 0 .B..C..B..C...AAC.DFFF..DGHIEE.GHI.. C99
1 1 0 .B.....B..C..AA.C.DFFFC.DGHIEE.GHI.. A99
1 1 0 .B.....B..C.AA..C.DFFFC.DGHIEE.GHI.. A98
1 1 0 .B.....B..C.D.AAC.DFFFC..GHIEE.GHI.. D99
1 1 0 .B....DB..C.D.AAC..FFFC..GHIEE.GHI.. D98
1 1 0 DB....DB..C...AAC..FFFC..GHIEE.GHI.. D97
1 1 0 .B.....B..C...AAC..FFFC.DGHIEEDGHI.. D99
2 2 0 ....C..B..C..BAAC.DFFF..DGHIEE.GHI.. B99 C99
2 2 0 .......B..C.DBAAC.DFFFC..GHIEE.GHI.. B99 D99
2 2 0 ......DB..C.DBAAC..FFFC..GHIEE.GHI.. B99 D98
2 2 0 D.....DB..C..BAAC..FFFC..GHIEE.GHI.. B99 D97
2 2 0 .......B..C..BAAC..FFFC.DGHIEEDGHI.. B99 D99
2 2 0 .B..C..B..C..AA.C.DFFF..DGHIEE.GHI.. C99 A99
2 2 0 .B..C..B..C.AA..C.DFFF..DGHIEE.GHI.. C99 A98
2 2 0 .B..C..B..C.D.AAC.DFFF...GHIEE.GHI.. C99 D99
2 2 0 .B..C.DB..C.D.AAC..FFF...GHIEE.GHI.. C99 D98
2 2 0 DB..C.DB..C...AAC..FFF...GHIEE.GHI.. C99 D97
2 2 0 .B..C..B..C...AAC..FFF..DGHIEEDGHI.. C99 D99
2 2 0 .B..C..B..C...AAC.D.FFF.DGHIEE.GHI.. C99 F99
2 2 0 .B..C..B..C...AAC.D..FFFDGHIEE.GHI.. C99 F98
2 2 0 .B.....B..C.DAA.C.DFFFC..GHIEE.GHI.. A99 D99
2 2 0 .B....DB..C.DAA.C..FFFC..GHIEE.GHI.. A99 D98
2 2 0 DB....DB..C..AA.C..FFFC..GHIEE.GHI.. A99 D97
2 2 0 .B.....B..C..AA.C..FFFC.DGHIEEDGHI.. A99 D99
2 2 0 .B.....B..C.AA..C..FFFC.DGHIEEDGHI.. A98 D99
2 2 0 .B....DB..C.D.AAC.FFF.C..GHIEE.GHI.. D98 F99
2 2 0 DB....DB..C.AA..C..FFFC..GHIEE.GHI.. A98 D97
2 2 0 DB....DB..C...AAC.FFF.C..GHIEE.GHI.. D97 F99
2 2 0 .B.....B..C...AAC.FFF.C.DGHIEEDGHI.. D99 F99
3 3 0 ....C..B..C.DBAAC.DFFF...GHIEE.GHI.. B99 C99 D99
3 3 0 ....C.DB..C.DBAAC..FFF...GHIEE.GHI.. B99 C99 D98
3 3 0 D...C.DB..C..BAAC..FFF...GHIEE.GHI.. B99 C99 D97
3 3 0 ....C..B..C..BAAC..FFF..DGHIEEDGHI.. B99 C99 D99
3 3 0 ....C..B..C..BAAC.D.FFF.DGHIEE.GHI.. B99 C99 F99
3 3 0 ....C..B..C..BAAC.D..FFFDGHIEE.GHI.. B99 C99 F98
3 3 0 ......DB..C.DBAAC.FFF.C..GHIEE.GHI.. B99 D98 F99
3 3 0 D.....DB..C..BAAC.FFF.C..GHIEE.GHI.. B99 D97 F99
3 3 0 .......B..C..BAAC.FFF.C.DGHIEEDGHI.. B99 D99 F99
3 3 0 .B..C..B..C.DAA.C.DFFF...GHIEE.GHI.. C99 A99 D99
3 3 0 .B..C.DB..C.DAA.C..FFF...GHIEE.GHI.. C99 A99 D98
3 3 0 DB..C.DB..C..AA.C..FFF...GHIEE.GHI.. C99 A99 D97
3 3 0 .B..C..B..C..AA.C..FFF..DGHIEEDGHI.. C99 A99 D99
3 3 0 .B..C..B..C..AA.C.D.FFF.DGHIEE.GHI.. C99 A99 F99
3 3 0 .B..C..B..C..AA.C.D..FFFDGHIEE.GHI.. C99 A99 F98
3 3 0 .B..C..B..C.AA..C..FFF..DGHIEEDGHI.. C99 A98 D99
3 3 0 .B..C..B..C.AA..C.D.FFF.DGHIEE.GHI.. C99 A98 F99
3 3 0 .B..C..B..C.AA..C.D..FFFDGHIEE.GHI.. C99 A98 F98
3 3 0 .B..C..B..C.D.AAC.D.FFF..GHIEE.GHI.. C99 D99 F99
3 3 0 .B..C..B..C.D.AAC.D..FFF.GHIEE.GHI.. C99 D99 F98
3 3 0 .B..C.DB..C.D.AAC.FFF....GHIEE.GHI.. C99 D98 F99
3 3 0 .B..C.DB..C.D.AAC...FFF..GHIEE.GHI.. C99 D98 F99
3 3 0 .B..C.DB..C.D.AAC....FFF.GHIEE.GHI.. C99 D98 F98
3 3 0 DB..C.DB..C.AA..C..FFF...GHIEE.GHI.. C99 A98 D97
3 3 0 DB..C.DB..C...AAC.FFF....GHIEE.GHI.. C99 D97 F99
3 3 0 DB..C.DB..C...AAC...FFF..GHIEE.GHI.. C99 D97 F99
3 3 0 DB..C.DB..C...AAC....FFF.GHIEE.GHI.. C99 D97 F98
3 3 0 .B..C..B..C...AAC.FFF...DGHIEEDGHI.. C99 D99 F99
3 3 0 .B..C..B..C...AAC...FFF.DGHIEEDGHI.. C99 D99 F99
3 3 0 .B..C..B..C...AAC....FFFDGHIEEDGHI.. C99 D99 F98
3 3 0 ....C.....C..BAAC.DBFFF.DGHIEE.GHI.. B98 C99 F99
3 3 0 .B..C..B..C...AAC.DGFFF.DGHIEE..HI.. C99 F99 G99
3 3 0 .B..C..B..C..GAAC.DGFFF.D.HIEE..HI.. C99 F99 G98
3 3 0 ....C.....C..BAAC.DB.FFFDGHIEE.GHI.. B98 C99 F98
3 3 0 .B..C..B..C...AAC.DG.FFFDGHIEE..HI.. C99 F98 G99
3 3 0 .B..C..B..C..GAAC.DG.FFFD.HIEE..HI.. C99 F98 G98
3 3 0 .B..C..B..C...AAC.D.HFFFDGHIEE.G.I.. C99 F98 H99
3 3 0 .B....DB..C.DAA.C.FFF.C..GHIEE.GHI.. A99 D98 F99
3 3 0 DB....DB..C..AA.C.FFF.C..GHIEE.GHI.. A99 D97 F99
3 3 0 .B.....B..C..AA.C.FFF.C.DGHIEEDGHI.. A99 D99 F99
3 3 0 .B.....B..C.AA..C.FFF.C.DGHIEEDGHI.. A98 D99 F99
3 3 0 .B....DB..C.D.AAC.FFFIC..GHIEE.GH... D98 F99 I99
3 3 0 DB....DB..C.AA..C.FFF.C..GHIEE.GHI.. A98 D97 F99
3 3 0 DB....DB..C...AAC.FFFIC..GHIEE.GH... D97 F99 I99
3 3 0 .B.....B..C...AAC.FFFIC.DGHIEEDGH... D99 F99 I99
4 4 0 .B..C..B..C...AAC..GFFF.DGHIEED.HI.. C99 D99 F99 G99
4 4 0 .B..C..B..C..GAAC..GFFF.D.HIEED.HI.. C99 D99 F99 G98
4 4 0 ....C.....C..BAAC..B.FFFDGHIEEDGHI.. B98 C99 D99 F98
4 4 0 .B..C..B..C...AAC..G.FFFDGHIEED.HI.. C99 D99 F98 G99
4 4 0 .B..C..B..C..GAAC..G.FFFD.HIEED.HI.. C99 D99 F98 G98
4 4 0 .B..C..B..C...AAC...HFFFDGHIEEDG.I.. C99 D99 F98 H99
4 4 0 ....C.....C..BAAC.DBHFFFDGHIEE.G.I.. B98 C99 F98 H99
4 4 0 .B..C..B..C...AAC.DGHFFFDGHIEE...I.. C99 F98 G99 H99
4 4 0 .B..C..B..C..GAAC.DGHFFFD.HIEE...I.. C99 F98 G98 H99
4 4 0 .B....DB..C.DAA.C.FFFIC..GHIEE.GH... A99 D98 F99 I99
4 4 0 .B....DB..C.DAAIC.FFFIC..GH.EE.GH... A99 D98 F99 I98
4 4 0 .B....DB.IC.DAAIC.FFF.C..GH.EE.GH... A99 D98 F99 I97
4 4 0 .B.I..DB.IC.DAA.C.FFF.C..GH.EE.GH... A99 D98 F99 I96
4 4 0 DB....DB..C..AA.C.FFFIC..GHIEE.GH... A99 D97 F99 I99
4 4 0 DB....DB..C..AAIC.FFFIC..GH.EE.GH... A99 D97 F99 I98
4 4 0 DB....DB.IC..AAIC.FFF.C..GH.EE.GH... A99 D97 F99 I97
4 4 0 DB.I..DB.IC..AA.C.FFF.C..GH.EE.GH... A99 D97 F99 I96
4 4 0 .B.....B..C..AA.C.FFFIC.DGHIEEDGH... A99 D99 F99 I99
4 4 0 .B.....B..C..AAIC.FFFIC.DGH.EEDGH... A99 D99 F99 I98
4 4 0 .B.....B.IC..AAIC.FFF.C.DGH.EEDGH... A99 D99 F99 I97
4 4 0 .B.I...B.IC..AA.C.FFF.C.DGH.EEDGH... A99 D99 F99 I96
4 4 0 .B.....B..C.AA..C.FFFIC.DGHIEEDGH... A98 D99 F99 I99
4 4 0 .B.....B..C.AA.IC.FFFIC.DGH.EEDGH... A98 D99 F99 I98
4 4 0 .B.....B.IC.AA.IC.FFF.C.DGH.EEDGH... A98 D99 F99 I97
4 4 0 .B.I...B.IC.AA..C.FFF.C.DGH.EEDGH... A98 D99 F99 I96
4 4 0 DB....DB..C.AA..C.FFFIC..GHIEE.GH... A98 D97 F99 I99
4 4 0 DB....DB..C.AA.IC.FFFIC..GH.EE.GH... A98 D97 F99 I98
4 4 0 DB....DB.IC.AA.IC.FFF.C..GH.EE.GH... A98 D97 F99 I97
4 4 0 DB.I..DB.IC.AA..C.FFF.C..GH.EE.GH... A98 D97 F99 I96
5 5 0 ....C..B..C.DBAAC.DGFFF..GHIEE..HI.. B99 C99 D99 F99 G99
5 5 0 ....C..B..C.DBAAC.DG.FFF.GHIEE..HI.. B99 C99 D99 F98 G99
5 5 0 ....C..B..C.DBAAC.D.HFFF.GHIEE.G.I.. B99 C99 D99 F98 H99
5 5 0 ....C.DB..C.DBAAC.FFFI...GHIEE.GH... B99 C99 D98 F99 I99
5 5 0 ....C.DB..C.DBAAC..GFFF..GHIEE..HI.. B99 C99 D98 F99 G99
5 5 0 ....C.DB..C.DBAAC..G.FFF.GHIEE..HI.. B99 C99 D98 F98 G99
5 5 0 ....C.DB..C.DBAAC...HFFF.GHIEE.G.I.. B99 C99 D98 F98 H99
5 5 0 D...C.DB..C..BAAC.FFFI...GHIEE.GH... B99 C99 D97 F99 I99
5 5 0 D...C.DB..C..BAAC..GFFF..GHIEE..HI.. B99 C99 D97 F99 G99
5 5 0 D...C.DB..C..BAAC..G.FFF.GHIEE..HI.. B99 C99 D97 F98 G99
5 5 0 D...C.DB..C..BAAC...HFFF.GHIEE.G.I.. B99 C99 D97 F98 H99
5 5 0 ....C..B..C..BAAC.FFFI..DGHIEEDGH... B99 C99 D99 F99 I99
5 5 0 ....C..B..C..BAAC..GFFF.DGHIEED.HI.. B99 C99 D99 F99 G99
5 5 0 ....C..B..C..BAAC..G.FFFDGHIEED.HI.. B99 C99 D99 F98 G99
5 5 0 ....C..B..C..BAAC...HFFFDGHIEEDG.I.. B99 C99 D99 F98 H99
5 5 0 ....C..B..C..BAAC.DGHFFFDGHIEE...I.. B99 C99 F98 G99 H99
5 5 0 .B..C..B..C.DAA.C.DGFFF..GHIEE..HI.. C99 A99 D99 F99 G99
5 5 0 .B..C..B..C.DAA.C.DG.FFF.GHIEE..HI.. C99 A99 D99 F98 G99
5 5 0 .B..C..B..C.DAA.C.D.HFFF.GHIEE.G.I.. C99 A99 D99 F98 H99
5 5 0 .B..C.DB..C.DAA.C.FFFI...GHIEE.GH... C99 A99 D98 F99 I99
5 5 0 .B..C.DB..C.DAAIC.FFFI...GH.EE.GH... C99 A99 D98 F99 I98
5 5 0 .B..C.DB.IC.DAAIC.FFF....GH.EE.GH... C99 A99 D98 F99 I97
5 5 0 .B.IC.DB.IC.DAA.C.FFF....GH.EE.GH... C99 A99 D98 F99 I96
5 5 0 .B..C.DB..C.DAA.C..GFFF..GHIEE..HI.. C99 A99 D98 F99 G99
5 5 0 .B..C.DB..C.DAA.C..G.FFF.GHIEE..HI.. C99 A99 D98 F98 G99
5 5 0 .B..C.DB..C.DAA.C...HFFF.GHIEE.G.I.. C99 A99 D98 F98 H99
5 5 0 DB..C.DB..C..AA.C.FFFI...GHIEE.GH... C99 A99 D97 F99 I99
5 5 0 DB..C.DB..C..AAIC.FFFI...GH.EE.GH... C99 A99 D97 F99 I98
5 5 0 DB..C.DB.IC..AAIC.FFF....GH.EE.GH... C99 A99 D97 F99 I97
5 5 0 DB.IC.DB.IC..AA.C.FFF....GH.EE.GH... C99 A99 D97 F99 I96
5 5 0 DB..C.DB..C..AA.C..GFFF..GHIEE..HI.. C99 A99 D97 F99 G99
5 5 0 DB..C.DB..C..AA.C..G.FFF.GHIEE..HI.. C99 A99 D97 F98 G99
5 5 0 DB..C.DB..C..AA.C...HFFF.GHIEE.G.I.. C99 A99 D97 F98 H99
5 5 0 .B..C..B..C..AA.C.FFFI..DGHIEEDGH... C99 A99 D99 F99 I99
5 5 0 .B..C..B..C..AAIC.FFFI..DGH.EEDGH... C99 A99 D99 F99 I98
5 5 0 .B..C..B.IC..AAIC.FFF...DGH.EEDGH... C99 A99 D99 F99 I97
5 5 0 .B.IC..B.IC..AA.C.FFF...DGH.EEDGH... C99 A99 D99 F99 I96
5 5 0 .B..C..B..C..AA.C..GFFF.DGHIEED.HI.. C99 A99 D99 F99 G99
5 5 0 .B..C..B..C..AA.C..G.FFFDGHIEED.HI.. C99 A99 D99 F98 G99
5 5 0 .B..C..B..C..AA.C...HFFFDGHIEEDG.I.. C99 A99 D99 F98 H99
5 5 0 .B..C..B..C..AA.C.DGHFFFDGHIEE...I.. C99 A99 F98 G99 H99
5 5 0 .B..C..B..C.AA..C.FFFI..DGHIEEDGH... C99 A98 D99 F99 I99
5 5 0 .B..C..B..C.AA.IC.FFFI..DGH.EEDGH... C99 A98 D99 F99 I98
5 5 0 .B..C..B.IC.AA.IC.FFF...DGH.EEDGH... C99 A98 D99 F99 I97
5 5 0 .B.IC..B.IC.AA..C.FFF...DGH.EEDGH... C99 A98 D99 F99 I96
5 5 0 .B..C..B..C.AA..C..GFFF.DGHIEED.HI.. C99 A98 D99 F99 G99
5 5 0 .B..C..B..C.AA..C..G.FFFDGHIEED.HI.. C99 A98 D99 F98 G99
5 5 0 .B..C..B..C.AA..C...HFFFDGHIEEDG.I.. C99 A98 D99 F98 H99
5 5 0 .B..C..B..C.AAH.C...HFFFDG.IEEDG.I.. C99 A98 D99 F98 H98
5 5 0 .B..C..BH.C.AAH.C....FFFDG.IEEDG.I.. C99 A98 D99 F98 H97
5 5 0 .BH.C..BH.C.AA..C....FFFDG.IEEDG.I.. C99 A98 D99 F98 H96
5 5 0 .B..C..B..C.AA..C.DGHFFFDGHIEE...I.. C99 A98 F98 G99 H99
5 5 0 .B..C..B..C.AAH.C.DGHFFFDG.IEE...I.. C99 A98 F98 G99 H98
