3 3 0 ...BBB....FFAADDI.HEEEI.HCCCG.....G. B98 F98 I99
3 3 0 ...BBB..FF..AADDI..EEEI.HCCCG.H...G. B98 I99 H99
3 3 0 ...BBB..FFI.AADDI.EEE...HCCCG.H...G. B98 H99 E99
3 3 0 ...BBB..FFI.AADDI...EEE.HCCCG.H...G. B98 H99 E99
3 3 0 ...BBB..FFI.AADDI....EEEHCCCG.H...G. B98 H99 E98
3 3 0 ...BBB..FFI.AADDI..EEEG.HCCCG.H..... B98 H99 G99
3 3 0 .BBBI..FF.I.AA.DD.HEEE..HCCCG.....G. F99 I99 D99
3 3 0 .BBBI..FF.I.AA....HEEE..HCCCG.....G. F99 I99
3 3 0 .BBBI..FF.I.AADD...EEE..HCCCG.H...G. F99 I99 H99
3 3 0 .BBBI..FF.I.AADD..H.EEE.HCCCG.....G. F99 I99 E99
3 3 0 .BBBI..FF.I.AADD..H..EEEHCCCG.....G. F99 I99 E98
3 3 0 .BBBI..FF.I.AADD..HEEEG.HCCCG....... F99 I99 G99
3 3 0 .BBBI..FF.I.AADDG.HEEEG.HCCC........ F99 I99 G98
3 3 0 .BBB...FF...AADDI..EEEI.HCCCG.H...G. F99 I99 H99
3 3 0 .BBB...FF.I.AADDI.EEE...HCCCG.H...G. F99 H99 E99
3 3 0 .BBB...FF.I.AADDI...EEE.HCCCG.H...G. F99 H99 E99
3 3 0 .BBB...FF.I.AADDI....EEEHCCCG.H...G. F99 H99 E98
3 3 0 .BBB...FF.I.AADDI..EEEG.HCCCG.H..... F99 H99 G99
3 3 0 .BBBI.FF..I.AA.DD.HEEE..HCCCG.....G. F98 I99 D99
3 3 0 .BBBI.FF..I.AA....HEEE..HCCCG.....G. F98 I99
3 3 0 .BBBI.FF..I.AADD...EEE..HCCCG.H...G. F98 I99 H99
3 3 0 .BBBI.FF..I.AADD..H.EEE.HCCCG.....G. F98 I99 E99
3 3 0 .BBBI.FF..I.AADD..H..EEEHCCCG.....G. F98 I99 E98
3 3 0 .BBBI.FF..I.AADD..HEEEG.HCCCG....... F98 I99 G99
3 3 0 .BBBI.FF..I.AADDG.HEEEG.HCCC........ F98 I99 G98
3 3 0 .BBB..FF....AADDI..EEEI.HCCCG.H...G. F98 I99 H99
3 3 0 .BBB..FF..I.AADDI.EEE...HCCCG.H...G. F98 H99 E99
3 3 0 .BBB..FF..I.AADDI...EEE.HCCCG.H...G. F98 H99 E99
3 3 0 .BBB..FF..I.AADDI....EEEHCCCG.H...G. F98 H99 E98
3 3 0 .BBB..FF..I.AADDI..EEEG.HCCCG.H..... F98 H99 G99
3 3 0 .BBBI...FFI..AADD.HEEE..HCCCG.....G. I99 A99 D99
3 3 0 .BBBI...FFI.AA.DD..EEE..HCCCG.H...G. I99 D99 H99
3 3 0 .BBBI...FFI.AA.DD.H.EEE.HCCCG.....G. I99 D99 E99
3 3 0 .BBBI...FFI.AA.DD.H..EEEHCCCG.....G. I99 D99 E98
3 3 0 .BBBI...FFI.AA.DD.HEEEG.HCCCG....... I99 D99 G99
3 3 0 .BBB....FFI.AA..I.HEEE..HCCCG.....G. I98
3 3 0 .BBB....FF..AA..I.HEEEI.HCCCG.....G. I97
3 3 0 .BBBI...FFI..AA...HEEE..HCCCG.....G. I99 A99
3 3 0 .BBBI...FFI...AA..HEEE..HCCCG.....G. I99 A98
3 3 0 .BBBI...FFI....AA.HEEE..HCCCG.....G. I99 A97
3 3 0 .BBBI...FFI.....AAHEEE..HCCCG.....G. I99 A96
