1 4 1 ....C.....C..BAAC..B.FFFDGHIEEDGHI.. B98 C99 D99 F98
1 4 1 .B..C..B..C...AAC..G.FFFDGHIEED.HI.. C99 D99 F98 G99
1 4 1 .B..C..B..C..GAAC..G.FFFD.HIEED.HI.. C99 D99 F98 G98
1 4 1 .B..C..B..C...AAC...HFFFDGHIEEDG.I.. C99 D99 F98 H99
1 4 1 ....C.....C..BAAC.DBHFFFDGHIEE.G.I.. B98 C99 F98 H99
1 4 1 .B..C..B..C...AAC.DGHFFFDGHIEE...I.. C99 F98 G99 H99
1 4 1 .B..C..B..C..GAAC.DGHFFFD.HIEE...I.. C99 F98 G98 H99
1 4 1 .B....DB..C.DAA.C.FFFIC..GHIEE.GH... A99 D98 F99 I99
1 4 1 .B.I..DB.IC.DAA.C.FFF.C..GH.EE.GH... A99 D98 F99 I96
1 4 1 DB....DB..C..AA.C.FFFIC..GHIEE.GH... A99 D97 F99 I99
1 4 1 DB.I..DB.IC..AA.C.FFF.C..GH.EE.GH... A99 D97 F99 I96
1 4 1 .B.....B..C..AA.C.FFFIC.DGHIEEDGH... A99 D99 F99 I99
1 4 1 .B.I...B.IC..AA.C.FFF.C.DGH.EEDGH... A99 D99 F99 I96
1 4 1 .B.....B..C.AA..C.FFFIC.DGHIEEDGH... A98 D99 F99 I99
1 4 1 .B.I...B.IC.AA..C.FFF.C.DGH.EEDGH... A98 D99 F99 I96
1 4 1 DB....DB..C.AA..C.FFFIC..GHIEE.GH... A98 D97 F99 I99
1 4 1 DB.I..DB.IC.AA..C.FFF.C..GH.EE.GH... A98 D97 F99 I96
1 5 1 ....C..B..C.DBAAC.DGFFF..GHIEE..HI.. B99 C99 D99 F99 G99
1 5 1 ....C..B..C.DBAAC.DG.FFF.GHIEE..HI.. B99 C99 D99 F98 G99
1 5 1 ....C..B..C.DBAAC.D.HFFF.GHIEE.G.I.. B99 C99 D99 F98 H99
1 5 1 ....C.DB..C.DBAAC.FFFI...GHIEE.GH... B99 C99 D98 F99 I99
1 5 1 ....C.DB..C.DBAAC..GFFF..GHIEE..HI.. B99 C99 D98 F99 G99
1 5 1 ....C.DB..C.DBAAC..G.FFF.GHIEE..HI.. B99 C99 D98 F98 G99
1 5 1 ....C.DB..C.DBAAC...HFFF.GHIEE.G.I.. B99 C99 D98 F98 H99
1 5 1 D...C.DB..C..BAAC.FFFI...GHIEE.GH... B99 C99 D97 F99 I99
1 5 1 D...C.DB..C..BAAC..GFFF..GHIEE..HI.. B99 C99 D97 F99 G99
1 5 1 D...C.DB..C..BAAC..G.FFF.GHIEE..HI.. B99 C99 D97 F98 G99
1 5 1 D...C.DB..C..BAAC...HFFF.GHIEE.G.I.. B99 C99 D97 F98 H99
1 5 1 ....C..B..C..BAAC.FFFI..DGHIEEDGH... B99 C99 D99 F99 I99
1 5 1 ....C..B..C..BAAC..GFFF.DGHIEED.HI.. B99 C99 D99 F99 G99
1 5 1 ....C..B..C..BAAC..G.FFFDGHIEED.HI.. B99 C99 D99 F98 G99
1 5 1 ....C..B..C..BAAC...HFFFDGHIEEDG.I.. B99 C99 D99 F98 H99
1 5 1 ....C..B..C..BAAC.DGHFFFDGHIEE...I.. B99 C99 F98 G99 H99
1 5 1 .B..C..B..C.DAA.C.DGFFF..GHIEE..HI.. C99 A99 D99 F99 G99
1 5 1 .B..C..B..C.DAA.C.DG.FFF.GHIEE..HI.. C99 A99 D99 F98 G99
