4 3 1 DDD...CC..EEHHAAI...B.I..FB.GG.F.... C99 E99 F99
4 3 1 DDD...CC..EEHHAAI..F..I..FB.GG..B... C99 E99 B99
4 3 1 DDD...CC..EEHHAAI..FB.I..FBGG....... C99 E99 G99
4 3 1 DDD...CC.EE.HHAAI.....I..FB.GG.FB... C99 F99 B99
4 3 1 DDD...CC.EE.HHAAI...B.I..FBGG..F.... C99 F99 G99
4 3 1 DDD...CC.EE.HHAAI..F..I..FBGG...B... C99 B99 G99
4 3 1 DDD.....CCEEHHAAI...B.I..FB.GG.F.... C99 E99 F99
4 3 1 DDD.....CCEEHHAAI..F..I..FB.GG..B... C99 E99 B99
4 3 1 DDD.....CCEEHHAAI..FB.I..FBGG....... C99 E99 G99
4 3 1 DDD....CC.EEHHAAI.....I..FB.GG.FB... E99 F99 B99
4 3 1 DDD....CC.EEHHAAI...B.I..FBGG..F.... E99 F99 G99
4 3 1 DDD....CC.EEHHAAI..F..I..FBGG...B... E99 B99 G99
4 3 1 DDD....CCEE.HHAAI.....I..FBGG..FB... F99 B99 G99
4 4 0 .DDDI.CCEEI.HHAA...FB....FB.GG...... D99 C99 E99 I98
4 4 0 DDD.I.CCEEI.HH.AA..FB....FB.GG...... C99 E99 A99 I98
4 4 0 DDD.I.CCEEI.HH..AA.FB....FB.GG...... C99 E99 A98 I98
