3 3 0 DD.CE....CE.AA..B.FFI.B.HHIGB....G.. C99 A99 I99
3 3 0 DD.CE....CE.AAI.B.FFI.B.HH.GB....G.. C99 A99 I98
3 3 0 DD.CE...ICE.AAI.B.FF..B.HH.GB....G.. C99 A99 I97
3 3 0 DDICE...ICE.AA..B.FF..B.HH.GB....G.. C99 A99 I96
3 3 0 DD.CE....CE.AA..B.FF.GB.HHIGB...I... C99 A99 G99
3 3 0 DD.CE....CE.AA.GB.FF.GB.HHI.B...I... C99 A99 G98
3 3 0 DD.CE....CE...AA..FF..B.HHIGB...IGB. C99 A99 B99
3 3 0 DD.CE....CE...AAB..FF.B.HHIGB...IG.. C99 A99 F99
3 3 0 DD.CE....CE...AAB...FFB.HHIGB...IG.. C99 A99 F98
3 3 0 DD.CE....CE...AAB.FFI.B.HHIGB....G.. C99 A99 I99
3 3 0 DD.CE....CE...AAB.FF.GB.HHIGB...I... C99 A99 G99
3 3 0 DD.C.....CE..AA.E.FF..B.HHIGB...IGB. E99 C99 B99
3 3 0 DD.CE....CE....AA.FF..B.HHIGB...IGB. C99 A98 B99
3 3 0 DD.CE....CE.....AAFF..B.HHIGB...IGB. C99 A97 B99
