3 3 0 CCCGG.BBB.F...AAF...II..E.DDHHE..... B99 A98 F99
3 3 0 CCCGG.BBB.....AAF..II.F.E.DDHHE..... B99 A98 I99
3 3 0 CCCGG.BBB.....AAF.II..F.E.DDHHE..... B99 A98 I98
3 3 0 CCCGG.BBB.....AAF.E.IIF.E.DDHH...... B99 A98 E99
3 3 0 CCCGG.BBB...E.AAF.E.IIF...DDHH...... B99 A98 E98
3 3 0 CCCGG.BBB.....AAF...IIF.EDD.HHE..... B99 A98 D99
3 3 0 CCCGG.BBB.F.AA..F..II...E.DDHHE..... B99 F99 I99
3 3 0 CCCGG.BBB.F.AA..F.II....E.DDHHE..... B99 F99 I98
3 3 0 CCCGG.BBB.F.AA..F....II.E.DDHHE..... B99 F99 I99
3 3 0 CCCGG.BBB.F.AA..F.....IIE.DDHHE..... B99 F99 I98
3 3 0 CCCGG.BBB.F.AA..F.E.II..E.DDHH...... B99 F99 E99
3 3 0 CCCGG.BBB.F.AA..F...II..EDD.HHE..... B99 F99 D99
3 3 0 CCCGG.BBB...AA..F.EII.F.E.DDHH...... B99 I99 E99
3 3 0 CCCGG.BBB...AA..F..II.F.EDD.HHE..... B99 I99 D99
3 3 0 CCCGG.BBB...AA..F.II..F.EDD.HHE..... B99 I98 D99
3 3 0 CCCGG.BBB...AA..F.E.IIF.EDD.HH...... B99 E99 D99
3 3 0 CCCGG.BBB...AA..F...IIF.EDDHH.E..... B99 D99 H99
3 3 0 CCCGG...BBB..AA.F..II.F.E.DDHHE..... B99 A99 I99
3 3 0 CCCGG...BBB..AA.F.II..F.E.DDHHE..... B99 A99 I98
3 3 0 CCCGG...BBB..AA.F.E.IIF.E.DDHH...... B99 A99 E99
3 3 0 CCCGG...BBB.EAA.F.E.IIF...DDHH...... B99 A99 E98
3 3 0 CCCGG.E.BBB.EAA.F...IIF...DDHH...... B99 A99 E97
3 3 0 CCCGG...BBB..AA.F...IIF.EDD.HHE..... B99 A99 D99
3 3 0 CCCGG...BBB...AAF..II.F.E.DDHHE..... B99 A98 I99
3 3 0 CCCGG...BBB...AAF.II..F.E.DDHHE..... B99 A98 I98
3 3 0 CCCGG...BBB...AAF.E.IIF.E.DDHH...... B99 A98 E99
3 3 0 CCCGG...BBB.E.AAF.E.IIF...DDHH...... B99 A98 E98
3 3 0 CCCGG.E.BBB.E.AAF...IIF...DDHH...... B99 A98 E97
3 3 0 CCCGG...BBB...AAF...IIF.EDD.HHE..... B99 A98 D99
3 3 0 CCCGG...BBB.AA..F.EII.F.E.DDHH...... B99 I99 E99
3 3 0 CCCGG...BBB.AA..F..II.F.EDD.HHE..... B99 I99 D99
3 3 0 CCCGG...BBB.AA..F.II..F.EDD.HHE..... B99 I98 D99
